minute_of_day,time,2024,2025,2026
54,00:54,5.1332,3.703,9.0863
55,00:55,5.1436,3.7037,9.0997
56,00:56,5.157,3.7032,8.9559
57,00:57,5.1569,3.7055,8.9631
58,00:58,5.1351,3.7029,8.8616
59,00:59,5.0701,3.7052,9.131
60,01:00,5.0114,3.7153,10.2307
61,01:01,5.0819,3.7037,9.8891
62,01:02,5.0441,3.704,9.4612
63,01:03,5.0527,3.704,9.4282
64,01:04,5.0288,3.7052,9.5083
65,01:05,4.9956,3.7043,9.3745
66,01:06,4.9915,3.7059,9.1253
67,01:07,5.0037,3.7104,9.0716
68,01:08,5.0106,3.7036,9.0638
69,01:09,4.9842,3.8761,9.2428
70,01:10,5.0027,3.7025,9.1004
71,01:11,5.0466,3.7039,8.946
72,01:12,5.0477,3.7042,9.1165
73,01:13,5.0681,3.7107,9.0501
74,01:14,5.0955,3.7037,8.7751
75,01:15,5.0838,3.7047,9.2309
76,01:16,5.0969,3.7117,9.402
77,01:17,5.0714,3.7113,9.241
78,01:18,5.0609,3.7176,9.0302
79,01:19,5.0263,3.7033,9.1058
80,01:20,4.9749,3.7032,9.2708
81,01:21,4.9661,3.7041,9.0718
82,01:22,4.9878,3.7066,9.172
83,01:23,5.0105,3.7039,9.0322
84,01:24,5.016,3.7049,8.9368
85,01:25,5.0471,3.7049,8.8949
86,01:26,5.0587,3.7075,8.9465
87,01:27,5.0642,3.7028,8.9705
88,01:28,5.063,3.7026,8.7092
89,01:29,5.0807,3.7026,8.9934
90,01:30,5.0528,3.7203,9.2008
91,01:31,5.0533,3.7093,9.0585
92,01:32,5.0546,3.723,9.1919
93,01:33,5.0174,3.7167,8.9452
94,01:34,5.0509,3.7163,9.0141
95,01:35,5.1119,3.7085,8.9434
96,01:36,5.0796,3.7148,8.965
97,01:37,5.0605,3.7053,8.9748
98,01:38,5.0753,3.7045,8.9598
99,01:39,5.0766,3.7592,8.8244
100,01:40,5.0519,3.7276,9.0364
101,01:41,5.0594,3.7095,8.9538
102,01:42,5.1052,3.7243,8.7204
103,01:43,5.0928,3.7163,8.6532
104,01:44,5.0749,3.755,8.688
105,01:45,5.0254,3.7107,8.6076
106,01:46,5.0681,3.7099,8.54
107,01:47,5.0404,3.7209,8.735
108,01:48,5.004,3.7029,8.6939
109,01:49,5.0162,3.7067,8.7456
110,01:50,5.0596,3.7039,8.7319
111,01:51,5.0338,3.7036,8.7537
112,01:52,5.1191,3.7031,8.8232
113,01:53,5.1458,3.7033,8.6859
114,01:54,5.0751,3.7068,8.6919
115,01:55,5.1111,3.7051,8.8227
116,01:56,5.1097,3.7047,8.87
117,01:57,5.0527,3.705,8.9863
118,01:58,5.0843,3.7035,8.7944
119,01:59,5.0866,3.7032,8.6294
120,02:00,5.0289,3.7191,8.8647
121,02:01,5.0368,3.7069,8.559
122,02:02,5.058,3.7089,8.8154
123,02:03,5.008,3.7035,8.5571
124,02:04,5.0209,3.7031,8.5342
125,02:05,5.0366,3.7043,8.6189
126,02:06,5.0553,3.7031,8.4518
127,02:07,5.0381,3.7034,8.515
128,02:08,5.027,3.7064,8.5424
129,02:09,5.0371,3.7369,8.5315
130,02:10,5.0498,3.7173,8.4134
131,02:11,5.0286,3.7045,8.5568
132,02:12,5.0508,3.7027,8.3359
133,02:13,5.0473,3.7082,8.1674
134,02:14,5.0479,3.7037,8.2712
135,02:15,5.1338,3.7041,8.7594
136,02:16,5.135,3.7093,8.7549
137,02:17,5.1181,3.7094,8.2255
138,02:18,5.1132,3.7046,8.3418
139,02:19,5.1327,3.7214,8.1516
140,02:20,5.1155,3.7102,8.4176
141,02:21,5.1193,3.7101,8.3108
142,02:22,5.0113,3.7031,8.2725
143,02:23,5.0686,3.7037,8.3684
144,02:24,5.0779,3.7047,8.1039
145,02:25,5.1351,3.7044,8.5159
146,02:26,5.0938,3.7033,8.267
147,02:27,5.1219,3.7036,8.2703
148,02:28,5.0667,3.7042,8.2805
149,02:29,5.0799,3.7137,8.1711
150,02:30,4.9597,3.704,9.0139
151,02:31,4.9963,3.7048,8.7829
152,02:32,5.0207,3.7038,8.5724
153,02:33,5.0243,3.7059,8.7695
154,02:34,5.0253,3.7028,8.5675
155,02:35,4.9927,3.7092,8.7792
156,02:36,5.0348,3.7026,8.4689
157,02:37,5.0411,3.7034,8.3765
158,02:38,5.0699,3.7032,8.3109
159,02:39,5.1179,3.704,8.3837
160,02:40,5.0737,3.7045,8.4006
161,02:41,5.0679,3.7043,8.352
162,02:42,5.049,3.713,8.4646
163,02:43,5.0361,3.7034,8.541
164,02:44,5.0306,3.7031,8.7294
165,02:45,5.0226,3.7043,8.8313
166,02:46,5.0473,3.7034,8.5674
167,02:47,5.0488,3.7062,8.8299
168,02:48,5.0567,3.7037,8.9325
169,02:49,5.0769,3.7027,8.8035
170,02:50,5.0524,3.7031,8.9072
171,02:51,5.0583,3.7029,9.2109
172,02:52,5.0361,3.7031,8.9329
173,02:53,5.0408,3.7032,8.7966
174,02:54,5.0506,3.7038,8.7561
175,02:55,5.086,3.7039,8.4817
176,02:56,5.0617,3.7029,8.6683
177,02:57,5.0466,3.7033,8.4365
178,02:58,5.0684,3.7034,8.4342
179,02:59,5.0518,3.7149,8.6207
180,03:00,5.0504,3.7351,9.072
181,03:01,5.0418,3.7029,8.7935
182,03:02,5.0187,3.7039,8.6634
183,03:03,5.0219,3.7026,8.7548
184,03:04,5.0685,3.7029,8.7502
185,03:05,5.0591,3.7026,8.3829
186,03:06,5.0116,3.71,8.2559
187,03:07,5.0453,3.7073,8.3888
188,03:08,5.0467,3.7059,8.3155
189,03:09,5.1078,3.7062,8.3993
190,03:10,5.0977,3.7084,8.5448
191,03:11,5.1016,3.7135,8.2879
192,03:12,5.11,3.708,8.3112
193,03:13,5.1443,3.7061,8.1913
194,03:14,5.1314,3.703,8.0204
195,03:15,5.1499,3.7035,8.3148
196,03:16,5.1697,3.7032,8.284
197,03:17,5.1263,3.7054,8.1748
198,03:18,5.1619,3.713,8.3346
199,03:19,5.1277,3.7071,8.4253
200,03:20,5.1212,3.7155,8.3125
201,03:21,5.0933,3.7059,8.6893
202,03:22,5.0741,3.7034,8.2802
203,03:23,5.0957,3.7094,8.3207
204,03:24,5.1143,3.7086,8.2117
205,03:25,5.0502,3.705,8.2699
206,03:26,5.0498,3.7045,8.3132
207,03:27,5.0246,3.7042,8.3924
208,03:28,4.9286,3.7045,8.2775
209,03:29,4.9333,3.7069,8.334
210,03:30,5.0352,3.7104,8.5083
211,03:31,5.0238,3.7078,8.5606
212,03:32,5.0293,3.7149,8.287
213,03:33,5.059,3.7049,8.2108
214,03:34,5.0264,3.7098,8.4165
215,03:35,5.0387,3.7027,8.369
216,03:36,5.0519,3.7053,8.4926
217,03:37,5.1143,3.711,8.2859
218,03:38,5.1321,3.704,8.2537
219,03:39,5.072,3.7038,8.056
220,03:40,5.0613,3.7037,7.8696
221,03:41,5.0862,3.7034,8.0449
222,03:42,5.0419,3.7055,8.2149
223,03:43,5.0372,3.7042,8.097
224,03:44,5.052,3.7042,8.0326
225,03:45,5.0904,3.7123,8.0952
226,03:46,5.0668,3.7162,8.2287
227,03:47,5.0983,3.7054,8.1652
228,03:48,5.014,3.7204,8.2153
229,03:49,5.0481,3.7264,8.6265
230,03:50,5.0694,3.7062,8.2289
231,03:51,5.0884,3.7064,8.2721
232,03:52,5.0769,3.7205,8.2099
233,03:53,5.0634,3.707,8.1214
234,03:54,5.1244,3.7092,8.2611
235,03:55,5.0901,3.7167,8.1217
236,03:56,5.0678,3.7119,8.0365
237,03:57,5.1184,3.7048,8.2513
238,03:58,5.0901,3.7081,8.1856
239,03:59,5.0817,3.7125,8.0566
240,04:00,5.0687,3.7094,8.3805
241,04:01,5.1074,3.7151,8.2356
242,04:02,5.138,3.7071,7.9869
243,04:03,5.1239,3.7055,8.2179
244,04:04,5.1084,3.7059,8.1569
245,04:05,5.1424,3.705,8.393
246,04:06,5.1901,3.703,8.4561
247,04:07,5.1068,3.7029,8.6472
248,04:08,5.1188,3.7029,8.4464
249,04:09,5.1149,3.7024,8.0529
250,04:10,5.0796,3.7028,8.212
251,04:11,5.1021,3.7031,8.2815
252,04:12,5.1192,3.7089,8.0625
253,04:13,5.1026,3.7048,8.3653
254,04:14,5.1465,3.7035,8.1439
255,04:15,5.1093,3.7031,8.5218
256,04:16,5.0767,3.7036,8.5339
257,04:17,5.1242,3.7055,8.4996
258,04:18,5.115,3.7036,8.5283
259,04:19,5.1158,3.7034,8.4995
260,04:20,5.0985,3.7027,8.2877
261,04:21,5.0959,3.7041,8.2786
262,04:22,5.0454,3.7108,8.2178
263,04:23,5.0628,3.7087,8.2134
264,04:24,5.0782,3.7057,8.4352
265,04:25,5.1368,3.7061,8.6239
266,04:26,5.117,3.7055,8.1162
267,04:27,5.0816,3.7107,8.69
268,04:28,5.1356,3.7129,8.3665
269,04:29,5.1202,3.7171,8.3892
270,04:30,5.2102,3.7101,8.7618
271,04:31,5.1767,3.7075,8.504
272,04:32,5.1026,3.7032,8.2941
273,04:33,5.0778,3.7068,8.2677
274,04:34,5.1179,3.7062,8.1467
275,04:35,5.0995,3.7248,8.3772
276,04:36,5.1037,3.7089,8.5019
277,04:37,5.1258,3.7204,8.4626
278,04:38,5.1389,3.7035,8.1995
279,04:39,5.1298,3.7028,8.2676
280,04:40,5.1214,3.702,8.0628
281,04:41,5.0781,3.7029,7.8813
282,04:42,5.1443,3.7037,8.2192
283,04:43,5.1262,3.7167,8.1524
284,04:44,5.1657,3.7259,8.3214
285,04:45,5.1465,3.7161,8.368
286,04:46,5.1499,3.7074,7.967
287,04:47,5.1128,3.7069,8.2029
288,04:48,5.1184,3.705,8.273
289,04:49,5.1069,3.7043,8.2961
290,04:50,5.1134,3.7183,8.337
291,04:51,5.1038,3.7142,8.2685
292,04:52,5.0929,3.7146,8.4005
293,04:53,5.1586,3.7033,8.2719
294,04:54,5.1221,3.7123,8.5682
295,04:55,5.1065,3.7379,8.3046
296,04:56,5.1016,3.7344,8.2899
297,04:57,5.0522,3.7248,8.1939
298,04:58,5.1356,3.7444,8.2693
299,04:59,5.1287,3.7185,8.5982
300,05:00,5.0295,3.7117,8.9404
301,05:01,5.0823,3.7131,8.523
302,05:02,5.0943,3.7141,8.3404
303,05:03,5.1009,3.7095,8.5659
304,05:04,5.0873,3.7104,8.6059
305,05:05,5.101,3.7201,8.3819
306,05:06,5.105,3.7291,8.6821
307,05:07,5.124,3.7258,8.4129
308,05:08,5.1081,3.7161,8.8512
309,05:09,5.119,3.8394,8.6352
310,05:10,5.0813,3.7219,8.6051
311,05:11,5.1117,3.7213,8.3366
312,05:12,5.103,3.7104,8.2632
313,05:13,5.1121,3.7042,8.5981
314,05:14,5.101,3.7032,8.2482
315,05:15,5.0833,3.7148,8.5701
316,05:16,5.0501,3.7108,8.757
317,05:17,5.1032,3.7121,8.6943
318,05:18,5.1212,3.7159,8.6256
319,05:19,5.1181,3.7321,8.5071
320,05:20,5.0946,3.7166,8.5123
321,05:21,5.0633,3.7155,7.9858
322,05:22,5.024,3.7148,8.3013
323,05:23,5.0823,3.7144,8.2669
324,05:24,5.0958,3.9919,8.0995
325,05:25,5.1001,3.7096,8.3834
326,05:26,5.0845,3.7105,8.6649
327,05:27,5.0858,3.703,8.455
328,05:28,5.0822,3.7074,8.3839
329,05:29,5.0882,3.7094,8.7839
330,05:30,4.9211,3.7273,9.2892
331,05:31,4.981,3.7149,8.856
332,05:32,5.0039,3.7075,9.0245
333,05:33,4.9994,3.7294,8.7136
334,05:34,5.0182,3.7102,8.7758
335,05:35,5.0263,3.7204,8.7243
336,05:36,5.016,3.7054,8.4239
337,05:37,5.0369,3.7054,8.7227
338,05:38,5.017,3.7063,8.5707
339,05:39,5.0449,3.7113,8.4402
340,05:40,5.0177,3.7245,8.5324
341,05:41,5.0425,3.7113,8.7186
342,05:42,5.0437,3.7038,8.4254
343,05:43,5.0221,3.7053,8.7256
344,05:44,5.0757,3.7096,8.4386
345,05:45,5.0821,3.7075,8.6291
346,05:46,5.068,3.712,8.5983
347,05:47,5.148,3.7128,8.5457
348,05:48,5.1083,3.7392,8.9236
349,05:49,5.0489,3.7256,8.5884
350,05:50,5.0059,3.7222,8.7191
351,05:51,4.9939,3.7069,8.711
352,05:52,5.0135,3.7058,8.9009
353,05:53,5.0354,3.7534,8.5874
354,05:54,5.03,3.7047,8.5516
355,05:55,5.0113,3.7085,8.5677
356,05:56,5.0357,3.7066,8.4998
357,05:57,5.0502,3.7082,8.5561
358,05:58,4.9982,3.7033,8.3598
359,05:59,5.0214,3.7081,8.3275
360,06:00,5.0292,3.7104,8.7425
361,06:01,5.1109,3.7035,8.8433
362,06:02,5.0422,3.7058,8.799
363,06:03,5.016,3.7033,8.7413
364,06:04,4.9853,3.7027,8.7292
365,06:05,5.021,3.7036,8.73
366,06:06,5.0133,3.7063,8.9673
367,06:07,5.045,3.7026,8.7892
368,06:08,5.0254,3.7033,8.8713
369,06:09,4.9735,3.7024,8.6716
370,06:10,5.0156,3.7029,8.6163
371,06:11,5.013,3.7027,8.617
372,06:12,5.0001,3.7036,8.7052
373,06:13,5.0096,3.7057,8.7913
374,06:14,5.019,3.7064,8.9229
375,06:15,5.0202,3.7029,8.8346
376,06:16,5.0287,3.7027,8.919
377,06:17,5.0371,3.7072,8.452
378,06:18,5.0225,3.7058,8.6745
379,06:19,4.986,3.7035,8.5651
380,06:20,4.9948,3.7024,8.6203
381,06:21,5.05,3.7171,8.5037
382,06:22,5.0194,3.7169,8.6734
383,06:23,4.9739,3.7054,8.4655
384,06:24,4.9696,3.7033,8.4335
385,06:25,4.9793,3.7024,8.554
386,06:26,4.9727,3.7034,8.3173
387,06:27,4.957,3.7049,8.3052
388,06:28,4.9401,3.7029,8.3022
389,06:29,4.9615,3.7043,8.3
390,06:30,4.977,3.7027,8.5275
391,06:31,4.996,3.7024,8.716
392,06:32,4.9996,3.708,8.6374
393,06:33,4.9798,3.7069,8.4421
394,06:34,4.9824,3.702,8.612
395,06:35,4.9967,3.7038,8.5728
396,06:36,4.9937,3.7054,8.7312
397,06:37,4.9767,3.7105,8.5382
398,06:38,5.0393,3.7081,8.5365
399,06:39,4.9996,3.7218,8.4484
400,06:40,5.0061,3.7034,8.3329
401,06:41,5.0069,3.7052,8.5246
402,06:42,5.0484,3.7038,8.4148
403,06:43,4.9926,3.7044,8.7564
404,06:44,5.0307,3.7031,8.6359
405,06:45,5.0384,3.7032,8.5964
406,06:46,4.9966,3.7043,8.5509
407,06:47,5.0184,3.7064,8.6485
408,06:48,5.0213,3.7044,8.5772
409,06:49,5.034,3.7073,8.4972
410,06:50,5.0289,3.7092,8.7656
411,06:51,5.0405,3.7039,8.4777
412,06:52,5.0434,3.7107,8.5188
413,06:53,5.0416,3.7038,8.5575
414,06:54,5.0203,3.7035,8.4145
415,06:55,5.046,3.7026,8.5337
416,06:56,5.0457,3.703,8.3932
417,06:57,5.0455,3.7122,8.3943
418,06:58,5.0601,3.7047,8.2815
419,06:59,5.0586,3.7133,8.4854
420,07:00,5.1068,3.7491,8.7117
421,07:01,5.1134,3.7087,8.9795
422,07:02,5.1122,3.7114,9.0113
423,07:03,5.0841,3.7295,8.9308
424,07:04,5.0274,3.7092,8.85
425,07:05,5.0412,3.7052,8.9355
426,07:06,5.0523,3.7179,8.9595
427,07:07,5.0406,3.7227,8.8368
428,07:08,5.0409,3.7102,9.1381
429,07:09,5.0539,3.7293,9.2234
430,07:10,5.0259,3.7367,9.1581
431,07:11,5.0361,3.7103,9.1395
432,07:12,5.0298,3.7375,9.0209
433,07:13,5.0837,3.7096,9.1764
434,07:14,5.1081,3.7079,8.9912
435,07:15,5.0783,3.7027,8.7988
436,07:16,5.0704,3.7031,8.6218
437,07:17,5.0804,3.7277,8.8532
438,07:18,5.09,3.7042,8.8746
439,07:19,5.0664,3.703,8.8698
440,07:20,5.0725,3.7876,8.7929
441,07:21,5.065,3.7054,8.7549
442,07:22,5.0496,3.7034,8.7268
443,07:23,5.0394,3.71,8.7119
444,07:24,5.0556,3.7079,8.6827
445,07:25,5.0531,3.7063,8.7744
446,07:26,5.0476,3.7089,8.665
447,07:27,5.0121,3.7038,8.5482
448,07:28,5.0901,3.7055,8.6616
449,07:29,5.0449,3.7046,8.5297
450,07:30,5.0544,3.7049,8.7275
451,07:31,5.0627,3.7118,8.5692
452,07:32,5.0808,3.712,8.8079
453,07:33,5.0541,3.7082,8.7584
454,07:34,5.0505,3.7148,8.6299
455,07:35,5.0407,3.7159,8.4453
456,07:36,5.0417,3.7062,8.3827
457,07:37,5.0423,3.7069,8.6023
458,07:38,5.0616,3.7068,8.4551
459,07:39,5.0476,3.7041,8.5846
460,07:40,5.0612,3.703,8.4645
461,07:41,5.0739,3.7134,8.4855
462,07:42,5.0591,3.7194,8.6262
463,07:43,5.0783,3.7084,8.4918
464,07:44,5.0744,3.7048,8.3816
465,07:45,5.0762,3.7036,8.4966
466,07:46,5.1082,3.7058,8.4147
467,07:47,5.107,3.7133,8.6204
468,07:48,5.0654,3.7032,8.6326
469,07:49,5.0731,3.709,8.5555
470,07:50,5.0819,3.7167,8.7821
471,07:51,5.0539,3.7172,8.5205
472,07:52,5.0608,3.7196,8.6188
473,07:53,5.0538,3.7128,8.6253
474,07:54,5.0506,3.7074,9.3792
475,07:55,5.0437,3.7262,8.9238
476,07:56,5.0689,3.7204,8.5583
477,07:57,5.0777,3.7107,8.6761
478,07:58,5.0654,3.7233,8.6179
479,07:59,5.0765,3.7118,8.4772
480,08:00,5.0151,3.7117,9.006
481,08:01,5.1129,3.706,9.0855
482,08:02,5.1257,3.7088,9.2727
483,08:03,5.1049,3.7408,8.7179
484,08:04,5.0934,3.7355,9.1489
485,08:05,5.0543,3.7315,9.041
486,08:06,5.095,3.724,8.9846
487,08:07,5.0899,3.7161,8.5508
488,08:08,5.0713,3.7094,8.619
489,08:09,5.067,3.716,8.579
490,08:10,5.0817,3.7257,8.5682
491,08:11,5.0888,3.7103,8.6787
492,08:12,5.0833,3.7113,8.5727
493,08:13,5.0747,3.7333,8.5968
494,08:14,5.0635,3.7316,8.6537
495,08:15,5.0354,3.8289,8.6536
496,08:16,5.0811,3.7309,8.6797
497,08:17,5.1002,3.7498,8.5695
498,08:18,5.0687,3.7393,8.6229
499,08:19,5.0569,3.7315,8.6403
500,08:20,5.0386,3.7174,8.5854
501,08:21,5.0338,3.7179,8.5866
502,08:22,5.0349,3.7102,8.7378
503,08:23,5.0724,3.7191,8.8507
504,08:24,5.0598,3.7153,8.7572
505,08:25,5.064,3.7174,8.7075
506,08:26,5.0868,3.7223,8.6523
507,08:27,5.0849,3.7496,8.7309
508,08:28,5.1168,3.7854,8.6387
509,08:29,5.1011,3.7579,8.7273
510,08:30,5.0851,3.769,8.5022
511,08:31,5.0603,3.7784,8.5535
512,08:32,5.0641,3.7682,8.4966
513,08:33,5.1081,3.7564,8.921
514,08:34,5.0813,3.7511,8.5017
515,08:35,5.1173,3.7474,7.8958
516,08:36,5.127,3.7534,8.2427
517,08:37,5.0879,3.7318,8.2991
518,08:38,5.0606,3.7487,8.2019
519,08:39,5.0571,3.718,8.2172
520,08:40,5.0781,3.7321,8.1354
521,08:41,5.1145,3.7335,8.0759
522,08:42,5.0922,3.7265,8.3283
523,08:43,5.1092,3.742,8.4287
524,08:44,5.0504,3.7213,8.0864
525,08:45,5.0982,3.7334,8.1765
526,08:46,5.1013,3.7274,8.1258
527,08:47,5.1238,3.7352,8.191
528,08:48,5.1175,3.7395,8.1718
529,08:49,5.124,3.728,8.2521
530,08:50,5.1088,3.7234,8.7658
531,08:51,5.1155,3.7194,8.6764
532,08:52,5.0826,3.7273,8.3439
533,08:53,5.0815,3.7261,8.4883
534,08:54,5.0748,3.7406,8.646
535,08:55,5.1062,3.7497,8.5367
536,08:56,5.0945,3.7238,8.6418
537,08:57,5.0692,3.7228,8.5898
538,08:58,5.0731,3.7346,8.3392
539,08:59,5.0613,3.7396,8.4277
540,09:00,5.0526,3.7247,8.9235
541,09:01,5.0941,3.7349,9.122
542,09:02,5.0767,3.7332,8.7185
543,09:03,5.0509,3.7308,8.6361
544,09:04,5.0608,3.7827,8.3576
545,09:05,5.0503,3.7453,8.6934
546,09:06,5.0702,3.73,9.2557
547,09:07,5.0587,3.7698,8.6292
548,09:08,5.0182,3.8264,8.4939
549,09:09,5.0444,3.816,8.3105
550,09:10,5.066,3.7895,8.3678
551,09:11,5.0833,3.7327,8.5975
552,09:12,5.0704,3.7509,8.1878
553,09:13,5.13,3.9328,8.2279
554,09:14,5.0871,4.3714,8.1854
555,09:15,5.0607,4.1921,8.2089
556,09:16,5.0425,3.7863,8.5104
557,09:17,5.0876,3.7852,8.4485
558,09:18,5.091,3.8862,8.3607
559,09:19,5.0736,4.0192,8.4503
560,09:20,5.0903,3.9405,8.315
561,09:21,5.0484,4.7756,8.4128
562,09:22,5.0642,4.6448,8.1841
563,09:23,5.0855,4.3018,8.263
564,09:24,5.1069,4.339,8.4147
565,09:25,5.1156,3.81,8.9823
566,09:26,5.1158,4.0227,8.9866
567,09:27,5.1221,3.9011,8.8118
568,09:28,5.0756,3.9272,8.5978
569,09:29,5.0608,4.9074,8.5622
570,09:30,5.0819,3.7848,8.9889
571,09:31,5.0604,3.8276,8.7932
572,09:32,5.0787,3.9723,8.6569
573,09:33,5.0755,4.0265,8.7898
574,09:34,5.0705,4.0571,8.8799
575,09:35,5.0505,4.104,8.5738
576,09:36,5.0204,3.9934,8.8102
577,09:37,4.9995,3.9065,8.4604
578,09:38,5.0443,3.7744,8.4799
579,09:39,5.0613,3.8089,8.4499
580,09:40,5.0672,3.8041,8.3174
581,09:41,5.1439,3.8301,8.2632
582,09:42,5.0942,3.8392,8.2649
583,09:43,5.0933,3.7764,8.1415
584,09:44,5.1467,3.7361,8.006
585,09:45,5.0866,3.7357,8.0243
586,09:46,5.1169,3.7156,8.1931
587,09:47,5.0873,3.7225,8.4692
588,09:48,5.0668,3.719,8.3094
589,09:49,5.1002,3.7227,7.8405
590,09:50,5.0776,3.7167,8.056
591,09:51,5.0806,3.717,7.9695
592,09:52,5.0242,3.7152,7.9591
593,09:53,5.0637,3.7264,8.095
594,09:54,5.0678,3.7221,8.0876
595,09:55,5.0607,3.7206,8.1173
596,09:56,5.0855,3.7175,8.1536
597,09:57,5.1137,3.7155,7.8842
598,09:58,5.0789,3.7175,8.1677
599,09:59,5.0741,3.7136,8.1203
600,10:00,5.0946,3.7142,8.7394
601,10:01,5.0836,3.7196,8.8197
602,10:02,5.101,3.716,8.7788
603,10:03,5.1117,3.72,8.5654
604,10:04,5.0693,3.7257,8.5241
605,10:05,5.05,3.7287,8.6144
606,10:06,5.0811,3.721,8.6153
607,10:07,5.0661,3.7242,8.8246
608,10:08,5.0745,3.7158,8.6746
609,10:09,5.0749,3.7199,8.9216
610,10:10,5.0979,3.7133,8.6447
611,10:11,5.049,3.7171,8.8302
612,10:12,5.0463,3.7355,8.6537
613,10:13,5.1045,3.7287,8.771
614,10:14,5.1089,3.74,8.473
615,10:15,5.051,3.7246,8.5353
616,10:16,5.0684,3.7313,9.0631
617,10:17,5.0461,3.7195,9.0736
618,10:18,5.0595,3.7183,8.6841
619,10:19,5.0513,3.7234,8.5104
620,10:20,5.0586,3.7312,8.2672
621,10:21,5.021,3.7275,8.3511
622,10:22,5.1418,3.7478,8.5923
623,10:23,5.1296,3.7802,8.5482
624,10:24,5.1441,3.7314,8.5661
625,10:25,5.1326,3.7393,8.8619
626,10:26,5.1555,3.7441,8.8181
627,10:27,5.087,3.7343,8.6867
628,10:28,5.0454,3.7371,8.5839
629,10:29,5.081,3.733,8.6156
630,10:30,5.0917,3.7305,9.1356
631,10:31,5.0748,3.7288,8.8654
632,10:32,5.0317,3.7277,8.771
633,10:33,5.0503,3.7446,8.7903
634,10:34,5.016,3.756,8.943
635,10:35,5.0661,3.7349,9.0781
636,10:36,5.0282,3.7262,8.8362
637,10:37,5.0708,3.7272,8.8673
638,10:38,5.0611,3.7248,8.878
639,10:39,5.0293,3.7308,9.0
640,10:40,5.0565,3.7298,9.0136
641,10:41,5.0948,3.7285,8.9248
642,10:42,5.0852,3.7334,8.9379
643,10:43,5.0735,3.7229,8.9245
644,10:44,5.0783,3.7213,9.2964
645,10:45,5.0721,3.706,8.8958
646,10:46,5.0937,3.7033,9.5093
647,10:47,5.0728,3.7106,8.8479
648,10:48,5.0693,3.7057,9.0459
649,10:49,5.0621,3.7049,8.9203
650,10:50,5.0384,3.7071,9.1395
651,10:51,5.1191,3.7038,9.0999
652,10:52,5.1007,3.7126,9.1179
653,10:53,5.0986,3.7104,9.0966
654,10:54,5.0594,3.7152,8.9452
655,10:55,5.0499,3.7068,9.0937
656,10:56,5.1177,3.7051,9.0311
657,10:57,5.0776,3.7041,8.7447
658,10:58,5.0654,3.7046,8.729
659,10:59,5.0837,3.7048,8.6951
660,11:00,5.0858,3.7043,8.992
661,11:01,5.0905,3.7055,10.2014
662,11:02,5.087,3.7044,9.5714
663,11:03,5.078,3.7049,9.2634
664,11:04,5.1112,3.7108,9.0654
665,11:05,5.0922,3.7043,9.7102
666,11:06,5.1105,3.7034,9.4966
667,11:07,5.0942,3.707,9.7991
668,11:08,5.1218,3.7035,10.6587
669,11:09,5.0842,3.7112,10.6256
670,11:10,5.0752,3.7041,10.3235
671,11:11,5.0706,3.7131,10.6347
672,11:12,5.0565,3.7066,10.6536
673,11:13,5.09,3.7052,9.9899
